001. calculadora-mmc | Calculadora de MMC | matematica | calcular mínimo múltiplo comum
049. calculadora-area-losango | Calculadora de Área do Losango | matematica-avancada | calcular área
050. calculadora-volume-cone | Calculadora de Volume do Cone | matematica-avancada | calcular volume
051. calculadora-peso-ideal | Calculadora de Peso Ideal | saude | estimar peso ideal
052. calculadora-tmb | Calculadora de TMB | saude | taxa metabólica basal
053. calculadora-calorias-diarias | Calculadora de Calorias Diárias | saude | gasto calórico estimado
054. calculadora-agua-diaria | Calculadora de Água Diária | saude | consumo de água recomendado
055. calculadora-percentual-gordura | Calculadora de Percentual de Gordura | saude | estimativa corporal
056. calculadora-macros | Calculadora de Macronutrientes | saude | proteínas carboidratos gorduras
057. calculadora-calculo-ovulacao | Calculadora de Ovulação | saude | janela fértil estimada
058. calculadora-idade-gestacional | Calculadora de Idade Gestacional | saude | semanas de gestação
059. calculadora-data-parto | Calculadora de Data Provável do Parto | saude | estimativa de parto
060. calculadora-frequencia-cardiaca | Calculadora de Frequência Cardíaca | saude | zona alvo de treino
061. calculadora-ritmo-corrida | Calculadora de Ritmo de Corrida | saude | pace por km
062. calculadora-gasto-calorico-caminhada | Calculadora de Gasto Calórico Caminhada | saude | estimar calorias
063. calculadora-gasto-calorico-corrida | Calculadora de Gasto Calórico Corrida | saude | estimar calorias
064. calculadora-dosagem-agua-infantil | Calculadora de Água Infantil | saude | consumo de água para crianças
065. calculadora-dias-gravidez | Calculadora de Dias de Gravidez | saude | dias corridos gestacionais
066. calculadora-idade-pet | Calculadora de Idade de Pet | saude | idade equivalente de cachorro ou gato
067. calculadora-superavit-calorico | Calculadora de Superávit Calórico | saude | ganho de massa
068. calculadora-deficit-calorico | Calculadora de Déficit Calórico | saude | perda de peso
069. calculadora-sono-recomendado | Calculadora de Sono Recomendado | saude | horas ideais por faixa etária
070. calculadora-horas-sono | Calculadora de Horas de Sono | saude | calcular duração do sono
071. calculadora-ciclos-sono | Calculadora de Ciclos de Sono | saude | melhor horário para dormir/acordar
072. calculadora-pressao-media | Calculadora de Pressão Média | saude | média de leituras
073. calculadora-velocidade-esteira | Calculadora de Ritmo na Esteira | saude | converter km/h em pace
074. calculadora-glicemia-media | Calculadora de Glicemia Média | saude | média de medições
075. calculadora-ingestao-proteina | Calculadora de Ingestão de Proteína | saude | proteína diária estimada
076. calculadora-13o-salario | Calculadora de 13º Salário | financas | estimativa de décimo terceiro
077. calculadora-ferias | Calculadora de Férias | financas | estimativa de férias e abono
078. calculadora-hora-extra | Calculadora de Hora Extra | financas | valor da hora extra
079. calculadora-comissao-vendas | Calculadora de Comissão de Vendas | financas | comissão percentual
080. calculadora-custo-oportunidade | Calculadora de Custo de Oportunidade | financas | comparar investimentos
081. calculadora-payback | Calculadora de Payback | financas | retorno do investimento
082. calculadora-vpl | Calculadora de VPL | financas | valor presente líquido
083. calculadora-tir | Calculadora de TIR | financas | taxa interna de retorno aproximada
084. calculadora-parcela-price | Calculadora Tabela Price | financas | parcelas fixas
085. calculadora-parcela-sac | Calculadora Tabela SAC | financas | amortização constante
086. calculadora-lucro-liquido | Calculadora de Lucro Líquido | financas | receita menos custos e impostos
087. calculadora-ticket-medio | Calculadora de Ticket Médio | financas | valor médio por venda
088. calculadora-ponto-equilibrio-unidades | Calculadora de Ponto de Equilíbrio em Unidades | financas | unidades para empatar
089. calculadora-giro-estoque | Calculadora de Giro de Estoque | financas | indicador de estoque
090. calculadora-margem-contribuicao | Calculadora de Margem de Contribuição | financas | margem por produto
091. calculadora-preco-venda | Calculadora de Preço de Venda | financas | preço final com custos
092. calculadora-juros-ao-dia | Calculadora de Juros ao Dia | financas | juros simples diários
093. calculadora-amortizacao | Calculadora de Amortização | financas | abatimento de saldo
094. calculadora-reserva-emergencia | Calculadora de Reserva de Emergência | financas | meta de reserva
095. calculadora-meta-poupanca | Calculadora de Meta de Poupança | financas | quanto guardar por mês
096. calculadora-valor-futuro | Calculadora de Valor Futuro | financas | montante futuro
097. calculadora-valor-presente | Calculadora de Valor Presente | financas | desconto financeiro
098. calculadora-desconto-comercial | Calculadora de Desconto Comercial | financas | desconto bancário
099. calculadora-custo-efetivo-total | Calculadora de CET Simplificado | financas | custo efetivo total aproximado
100. calculadora-rentabilidade-acumulada | Calculadora de Rentabilidade Acumulada | financas | retorno acumulado
101. calculadora-consumo-combustivel | Calculadora de Consumo de Combustível | cotidiano | km por litro
102. calculadora-custo-por-km | Calculadora de Custo por KM | cotidiano | custo total por quilômetro
103. calculadora-autonomia-veiculo | Calculadora de Autonomia do Veículo | cotidiano | distância com tanque
104. calculadora-custo-viagem | Calculadora de Custo de Viagem | cotidiano | combustível + pedágio
105. calculadora-pedagio | Calculadora de Pedágio | cotidiano | soma de pedágios
106. calculadora-litragem-tanque | Calculadora de Litros Necessários | cotidiano | litros para percurso
107. calculadora-consumo-energia | Calculadora de Consumo de Energia | cotidiano | kWh por aparelho
108. calculadora-conta-luz | Calculadora de Conta de Luz | cotidiano | custo mensal estimado
109. calculadora-conta-agua | Calculadora de Conta de Água | cotidiano | custo estimado
110. calculadora-gas-cozinha | Calculadora de Gás de Cozinha | cotidiano | consumo mensal estimado
111. calculadora-tinta-parede | Calculadora de Tinta para Parede | cotidiano | litros de tinta necessários
112. calculadora-piso-por-metro | Calculadora de Piso por Metro Quadrado | cotidiano | quantidade de peças
113. calculadora-cimento-areia | Calculadora de Cimento e Areia | cotidiano | traço simples
114. calculadora-tijolos | Calculadora de Tijolos | cotidiano | quantidade por parede
115. calculadora-caixa-dagua | Calculadora de Caixa d’Água | cotidiano | volume necessário
116. calculadora-consumo-internet | Calculadora de Consumo de Internet | cotidiano | uso de dados
117. calculadora-velocidade-download | Calculadora de Velocidade de Download | cotidiano | Mbps para MB/s
118. calculadora-tempo-download | Calculadora de Tempo de Download | cotidiano | tempo estimado
119. calculadora-custo-impressao | Calculadora de Custo de Impressão | cotidiano | custo por página
120. calculadora-orcamento-festa | Calculadora de Orçamento de Festa | cotidiano | custo por convidado
121. calculadora-consumo-churrasco | Calculadora de Consumo para Churrasco | cotidiano | carnes e bebidas
122. calculadora-lista-mercado | Calculadora de Total de Mercado | cotidiano | soma de itens
123. calculadora-divisao-conta | Calculadora de Divisão de Conta | cotidiano | dividir conta por pessoas
124. calculadora-gorjeta | Calculadora de Gorjeta | cotidiano | valor da gorjeta
125. calculadora-metros-para-passos | Calculadora de Metros para Passos | cotidiano | converter distância em passos
126. conversor-moedas-fixo | Conversor de Moedas Manual | conversores | conversão por taxa informada
127. conversor-metros-pes | Conversor de Metros para Pés | conversores | medida linear
128. conversor-pes-metros | Conversor de Pés para Metros | conversores | medida linear
129. conversor-kg-libras | Conversor de KG para Libras | conversores | massa
130. conversor-libras-kg | Conversor de Libras para KG | conversores | massa
131. conversor-gramas-oncas | Conversor de Gramas para Onças | conversores | massa
132. conversor-oncas-gramas | Conversor de Onças para Gramas | conversores | massa
133. conversor-litros-galoes | Conversor de Litros para Galões | conversores | volume
134. conversor-galoes-litros | Conversor de Galões para Litros | conversores | volume
135. conversor-cm-polegadas | Conversor de CM para Polegadas | conversores | comprimento
136. conversor-polegadas-cm | Conversor de Polegadas para CM | conversores | comprimento
137. conversor-m2-ft2 | Conversor de m² para ft² | conversores | área
138. conversor-ft2-m2 | Conversor de ft² para m² | conversores | área
139. conversor-hectares-m2 | Conversor de Hectares para m² | conversores | área
140. conversor-m2-hectares | Conversor de m² para Hectares | conversores | área
141. conversor-lt-ml | Conversor de Litros para ml | conversores | volume
142. conversor-ml-lt | Conversor de ml para Litros | conversores | volume
143. conversor-horas-decimais | Conversor de Horas para Decimal | conversores | tempo
144. conversor-decimal-horas | Conversor Decimal para Horas | conversores | tempo
145. conversor-minutos-decimais | Conversor de Minutos para Decimal | conversores | tempo
146. conversor-semanas-meses | Conversor de Semanas para Meses | conversores | tempo
147. conversor-meses-semanas | Conversor de Meses para Semanas | conversores | tempo
148. conversor-dias-semanas | Conversor de Dias para Semanas | conversores | tempo
149. conversor-semanas-dias | Conversor de Semanas para Dias | conversores | tempo
150. conversor-anos-meses | Conversor de Anos para Meses | conversores | tempo
151. conversor-celsius-kelvin | Conversor de Celsius para Kelvin | conversores | temperatura
152. conversor-kelvin-celsius | Conversor de Kelvin para Celsius | conversores | temperatura
153. conversor-fahrenheit-kelvin | Conversor de Fahrenheit para Kelvin | conversores | temperatura
154. conversor-kelvin-fahrenheit | Conversor de Kelvin para Fahrenheit | conversores | temperatura
155. conversor-mbps-mbs | Conversor de Mbps para MB/s | conversores | internet
156. conversor-mbs-mbps | Conversor de MB/s para Mbps | conversores | internet
157. conversor-bits-bytes | Conversor de Bits para Bytes | conversores | dados
158. conversor-bytes-bits | Conversor de Bytes para Bits | conversores | dados
159. conversor-kb-mb | Conversor de KB para MB | conversores | dados
160. conversor-mb-gb | Conversor de MB para GB | conversores | dados
161. conversor-gb-tb | Conversor de GB para TB | conversores | dados
162. conversor-binario-decimal | Conversor de Binário para Decimal | conversores | numérico
163. conversor-decimal-binario | Conversor de Decimal para Binário | conversores | numérico
164. conversor-decimal-hexadecimal | Conversor Decimal para Hexadecimal | conversores | numérico
165. conversor-hexadecimal-decimal | Conversor Hexadecimal para Decimal | conversores | numérico
166. conversor-decimal-octal | Conversor Decimal para Octal | conversores | numérico
167. conversor-octal-decimal | Conversor Octal para Decimal | conversores | numérico
168. conversor-romano-decimal | Conversor Romano para Decimal | conversores | numérico
169. conversor-decimal-romano | Conversor Decimal para Romano | conversores | numérico
170. conversor-ascii-texto | Conversor ASCII para Texto | conversores | codificação
171. conversor-texto-ascii | Conversor Texto para ASCII | conversores | codificação
172. conversor-unicode-texto | Conversor Unicode para Texto | conversores | codificação
173. conversor-texto-unicode | Conversor Texto para Unicode | conversores | codificação
174. conversor-porcentagem-decimal | Conversor Porcentagem para Decimal | conversores | matemática
175. conversor-decimal-porcentagem | Conversor Decimal para Porcentagem | conversores | matemática
176. removedor-linhas-vazias | Removedor de Linhas Vazias | texto | limpar texto
177. removedor-linhas-duplicadas | Removedor de Linhas Duplicadas | texto | deduplicar linhas
178. ordenador-linhas-alfabetico | Ordenador de Linhas Alfabético | texto | ordenar A-Z
179. ordenador-linhas-reverso | Ordenador de Linhas Reverso | texto | ordenar Z-A
180. embaralhador-linhas | Embaralhador de Linhas | texto | randomizar linhas
181. separador-linhas-virgula | Linhas para Vírgulas | texto | unir linhas com vírgula
182. separador-virgula-linhas | Vírgulas para Linhas | texto | quebrar por vírgula
183. separador-espaco-linhas | Espaços para Linhas | texto | quebrar por espaço
184. separador-linhas-espaco | Linhas para Espaços | texto | unir linhas com espaço
185. removedor-acentos | Removedor de Acentos | texto | normalizar caracteres
186. removedor-pontuacao | Removedor de Pontuação | texto | remover pontuação
187. removedor-numeros-texto | Removedor de Números do Texto | texto | remover dígitos
188. removedor-letras-texto | Removedor de Letras do Texto | texto | manter somente números/símbolos
189. extrator-numeros | Extrator de Números | texto | extrair números
190. extrator-emails-texto | Extrator de Emails | texto | localizar emails em texto
191. extrator-urls-texto | Extrator de URLs | texto | localizar links em texto
192. extrator-hashtags | Extrator de Hashtags | texto | localizar hashtags
193. extrator-mencoes | Extrator de Menções | texto | localizar @menções
194. contador-frases | Contador de Frases | texto | contar frases
195. contador-paragrafos | Contador de Parágrafos | texto | contar parágrafos
196. contador-vogais | Contador de Vogais | texto | contar vogais
197. contador-consoantes | Contador de Consoantes | texto | contar consoantes
198. contador-digitos | Contador de Dígitos | texto | contar números
199. texto-snake-case | Conversor para snake_case | texto | transformar texto
200. texto-kebab-case | Conversor para kebab-case | texto | transformar texto
201. texto-camel-case | Conversor para camelCase | texto | transformar texto
202. texto-pascal-case | Conversor para PascalCase | texto | transformar texto
203. texto-title-case | Conversor para Title Case | texto | transformar texto
204. texto-inverter-caixa | Inverter Caixa do Texto | texto | maiúsculas/minúsculas alternadas
205. texto-repetir | Repetidor de Texto | texto | repetir texto N vezes
206. texto-truncar | Truncador de Texto | texto | cortar texto por limite
207. texto-prefixo | Adicionar Prefixo em Linhas | texto | prefixar linhas
208. texto-sufixo | Adicionar Sufixo em Linhas | texto | sufixar linhas
209. texto-envolver-aspas | Envolver Linhas em Aspas | texto | envolver linhas
210. texto-envolver-parenteses | Envolver Linhas em Parênteses | texto | envolver linhas
211. texto-numerar-linhas | Numerador de Linhas | texto | numerar linhas
212. texto-remover-html | Removedor de HTML | texto | limpar tags
213. texto-escapar-html | Escapador de HTML | texto | converter < > &
214. texto-desescapar-html | Desescapador de HTML | texto | reverter entidades
215. texto-normalizar-espacos | Normalizador de Espaços | texto | reduzir múltiplos espaços
216. texto-remover-quebras | Removedor de Quebras de Linha | texto | texto em linha única
217. texto-quebrar-por-tamanho | Quebrador de Texto por Tamanho | texto | quebrar em blocos
218. texto-palavras-unicas | Lista de Palavras Únicas | texto | remover palavras repetidas
219. texto-frequencia-palavras | Frequência de Palavras | texto | contar ocorrência
220. texto-gerador-iniciais | Gerador de Iniciais | texto | iniciais de nomes
221. texto-mascarar-cpf | Mascarador de CPF | texto | aplicar máscara
222. texto-mascarar-cnpj | Mascarador de CNPJ | texto | aplicar máscara
223. texto-mascarar-telefone | Mascarador de Telefone | texto | aplicar máscara
224. texto-mascarar-cartao | Mascarador de Cartão | texto | aplicar máscara
225. texto-ofuscar-email | Ofuscador de Email | texto | esconder parcialmente email
226. gerador-cnpj | Gerador de CNPJ | dev | gerar CNPJ válido
227. validador-cpf | Validador de CPF | dev | validar CPF
228. validador-cnpj | Validador de CNPJ | dev | validar CNPJ
229. gerador-renavam | Gerador de RENAVAM | dev | gerar número exemplo
230. validador-renavam | Validador de RENAVAM | dev | validar número
231. gerador-pis | Gerador de PIS | dev | gerar PIS válido
232. validador-pis | Validador de PIS | dev | validar PIS
233. gerador-ie-simples | Gerador de Inscrição Estadual Simples | dev | gerar exemplo
234. gerador-cartao-teste | Gerador de Cartão de Teste | dev | números para testes
235. validador-luhn | Validador Luhn | dev | validar número pelo algoritmo luhn
236. gerador-hash-md5 | Gerador de Hash MD5 | dev | gerar hash md5
237. gerador-hash-sha1 | Gerador de Hash SHA1 | dev | gerar hash sha1
238. gerador-hmac-sha256 | Gerador de HMAC SHA256 | dev | hash com chave
239. gerador-base32 | Gerador Base32 | dev | codificar texto em base32
240. decoder-base32 | Decoder Base32 | dev | decodificar base32
241. gerador-uuid-v4-lote | Gerador de UUID em Lote | dev | vários UUIDs
242. gerador-nanoid | Gerador Nano ID | dev | ids curtos
243. gerador-api-key | Gerador de API Key | dev | chaves aleatórias
244. gerador-token-hex | Gerador de Token Hex | dev | token aleatório
245. gerador-token-base64 | Gerador de Token Base64 | dev | token aleatório
246. gerador-jwt-payload | Gerador de JWT Payload Demo | dev | header/payload mock
247. decoder-jwt | Decoder JWT | dev | ler payload sem validar assinatura
248. gerador-lorem-codigo | Gerador de Lorem para Código | dev | nomes e dados fake
249. gerador-dados-json-fake | Gerador de JSON Fake | dev | objetos simulados
250. gerador-dados-csv-fake | Gerador de CSV Fake | dev | linhas simuladas
251. gerador-dados-sql-fake | Gerador de SQL Fake | dev | inserts simulados
252. gerador-usuarios-fake | Gerador de Usuários Fake | dev | nomes emails senhas
253. gerador-cep-fake | Gerador de CEP Fake | dev | dados de teste
254. gerador-telefone-fake | Gerador de Telefone Fake | dev | números de exemplo
255. gerador-senha-lote | Gerador de Senhas em Lote | dev | várias senhas
256. formatador-xml | Formatador XML | dev | identar xml
257. minificador-xml | Minificador XML | dev | remover espaços
258. validador-xml | Validador XML | dev | validar estrutura
259. conversor-json-xml | Conversor JSON para XML | dev | converter estruturas simples
260. conversor-xml-json | Conversor XML para JSON | dev | converter estruturas simples
261. conversor-json-yaml | Conversor JSON para YAML | dev | converter estruturas simples
262. conversor-yaml-json | Conversor YAML para JSON | dev | converter estruturas simples
263. conversor-csv-json | Conversor CSV para JSON | dev | converter tabela
264. conversor-json-csv | Conversor JSON para CSV | dev | converter tabela
265. conversor-csv-html-table | Conversor CSV para Tabela HTML | dev | gerar tabela
266. conversor-html-table-csv | Conversor Tabela HTML para CSV | dev | extrair tabela
267. minificador-css | Minificador CSS | dev | remover espaços
268. beautifier-css | Beautifier CSS | dev | formatar CSS
269. minificador-js | Minificador JS Simples | dev | remover espaços e comentários simples
270. beautifier-js | Beautifier JS Simples | dev | formatar js
271. formatador-sql | Formatador SQL | dev | quebrar linhas e palavras-chave
272. minificador-sql | Minificador SQL | dev | compactar query
273. encoder-hex | Encoder Hexadecimal | dev | texto para hex
274. decoder-hex | Decoder Hexadecimal | dev | hex para texto
275. calculadora-timestamp | Calculadora de Timestamp | dev | data para unix e unix para data
276. gerador-cron-basico | Gerador de Cron Básico | devops | montar expressão cron
277. leitor-cron | Leitor de Expressão Cron | devops | explicar cron simples
278. gerador-htaccess-basico | Gerador de .htaccess Básico | devops | redirects e segurança
279. verificador-regex | Verificador de Regex | devops | testar padrão
280. gerador-regex-email | Gerador de Regex para Email | devops | regex pronta
281. gerador-regex-url | Gerador de Regex para URL | devops | regex pronta
282. comparador-json | Comparador de JSON | devops | diferenças simples
283. comparador-csv | Comparador de CSV | devops | diferenças simples
284. comparador-listas | Comparador de Listas | devops | itens em comum e exclusivos
285. diff-texto-lado-a-lado | Diff de Texto Lado a Lado | devops | comparar dois textos
286. escapador-json | Escapador de JSON | devops | escapar string
287. desescapador-json | Desescapador de JSON | devops | reverter escape
288. gerador-query-string | Gerador de Query String | devops | params para URL
289. parser-query-string | Parser de Query String | devops | URL params para lista
290. gerador-user-agent-fake | Gerador de User-Agent Fake | devops | strings variadas
291. analisador-user-agent | Analisador de User-Agent | devops | identificar navegador simples
292. gerador-curl | Gerador de Comando cURL | devops | montar curl
293. gerador-fetch-js | Gerador de Código fetch() | devops | código JS de requisição
294. gerador-axios-js | Gerador de Código Axios | devops | snippet axios
295. gerador-postman-body | Gerador de Body para Postman | devops | json/raw/form-data
296. verificador-cabecalhos-http-manual | Verificador de Cabeçalhos HTTP Manual | devops | analisar texto de headers
297. parser-cookie | Parser de Cookie | devops | separar cookie string
298. gerador-cookie | Gerador de Cookie | devops | nome valor expires path
299. parser-jwt-claims | Parser de Claims JWT | devops | listar claims
300. gerador-webhook-payload | Gerador de Payload de Webhook | devops | dados fake
301. gerador-sitemap-xml | Gerador de Sitemap XML | seo | gerar xml a partir de urls
302. gerador-sitemap-html | Gerador de Sitemap HTML | seo | lista html de urls
303. gerador-canonical-tag | Gerador de Canonical Tag | seo | tag canonical
304. gerador-open-graph | Gerador de Open Graph | seo | tags sociais
305. gerador-twitter-cards | Gerador de Twitter Cards | seo | tags sociais
306. gerador-schema-article | Gerador de Schema Article | seo | json-ld article
307. gerador-schema-organization | Gerador de Schema Organization | seo | json-ld organization
308. gerador-schema-product | Gerador de Schema Product | seo | json-ld product
309. gerador-schema-event | Gerador de Schema Event | seo | json-ld event
310. gerador-schema-video | Gerador de Schema Video | seo | json-ld video
311. gerador-schema-local-business | Gerador de Schema Local Business | seo | json-ld local business
312. gerador-schema-person | Gerador de Schema Person | seo | json-ld person
313. gerador-schema-website | Gerador de Schema Website | seo | json-ld website
314. gerador-schema-webpage | Gerador de Schema WebPage | seo | json-ld webpage
315. gerador-schema-howto | Gerador de Schema HowTo | seo | json-ld howto
316. gerador-meta-description | Gerador de Meta Description | seo | montar descrição
317. gerador-title-seo | Gerador de Title SEO | seo | montar title
318. calculadora-ctr | Calculadora de CTR | seo | click-through rate
319. calculadora-taxa-rejeicao | Calculadora de Taxa de Rejeição | seo | bounce rate
320. calculadora-taxa-conversao | Calculadora de Taxa de Conversão | seo | conversão
321. analisador-comprimento-url | Analisador de Comprimento de URL | seo | contar caracteres
322. analisador-slug | Analisador de Slug | seo | tamanho e limpeza
323. extrator-titulos-seo | Extrator de Titles | seo | extrair titles de HTML manual
324. extrator-meta-description | Extrator de Meta Description | seo | extrair descrição de HTML manual
325. extrator-headings-html | Extrator de Headings do HTML | seo | listar H1-H6
326. gerador-legenda-instagram | Gerador de Legenda para Instagram | marketing | montar legenda
327. gerador-legenda-tiktok | Gerador de Legenda para TikTok | marketing | montar legenda
328. gerador-legenda-youtube | Gerador de Descrição para YouTube | marketing | montar descrição
329. gerador-hashtags-instagram | Gerador de Hashtags para Instagram | marketing | sugerir hashtags
330. gerador-hashtags-youtube | Gerador de Hashtags para YouTube | marketing | sugerir hashtags
331. gerador-hashtags-tiktok | Gerador de Hashtags para TikTok | marketing | sugerir hashtags
332. gerador-bio-instagram | Gerador de Bio para Instagram | marketing | montar bio
333. gerador-bio-tiktok | Gerador de Bio para TikTok | marketing | montar bio
334. gerador-bio-linkedin | Gerador de Bio para LinkedIn | marketing | resumo profissional
335. gerador-headline-anuncio | Gerador de Headline de Anúncio | marketing | títulos curtos
336. gerador-call-to-action | Gerador de CTA | marketing | chamadas para ação
337. gerador-slogan | Gerador de Slogan | marketing | slogans curtos
338. gerador-nome-marca | Gerador de Nome de Marca | marketing | nomes de marca
339. gerador-nome-loja | Gerador de Nome de Loja | marketing | nomes comerciais
340. gerador-nome-dominio | Gerador de Ideias de Domínio | marketing | domínios sugestivos
341. gerador-utm | Gerador de UTM | marketing | montar parâmetros UTM
342. parser-utm | Parser de UTM | marketing | ler parâmetros UTM
343. calculadora-cpc | Calculadora de CPC | marketing | custo por clique
344. calculadora-cpm | Calculadora de CPM | marketing | custo por mil
345. calculadora-cpa | Calculadora de CPA | marketing | custo por aquisição
346. calculadora-roas | Calculadora de ROAS | marketing | retorno sobre anúncios
347. calculadora-ltv | Calculadora de LTV | marketing | lifetime value
348. calculadora-churn | Calculadora de Churn | marketing | taxa de cancelamento
349. calculadora-engajamento-instagram | Calculadora de Engajamento Instagram | marketing | taxa de engajamento
350. calculadora-engajamento-youtube | Calculadora de Engajamento YouTube | marketing | taxa de engajamento
351. gerador-planejamento-semanal | Gerador de Planejamento Semanal | produtividade | montar semana
352. gerador-planejamento-diario | Gerador de Planejamento Diário | produtividade | tarefas do dia
353. gerador-checklist | Gerador de Checklist | produtividade | checklist simples
354. gerador-lista-compras | Gerador de Lista de Compras | produtividade | lista organizada
355. gerador-lista-tarefas | Gerador de To-Do List | produtividade | tarefas
356. calculadora-pomodoro | Calculadora Pomodoro | produtividade | ciclos de foco
357. cronometro-estudos | Cronômetro de Estudos | produtividade | controlar tempo
358. cronometro-treino | Cronômetro de Treino | produtividade | controlar séries
359. temporizador-reverso | Temporizador Reverso | produtividade | countdown simples
360. despertador-online-simples | Despertador Online Simples | produtividade | alarme local
361. calculadora-prioridade-tarefas | Calculadora de Prioridade de Tarefas | produtividade | matriz simples
362. calculadora-produtividade-horas | Calculadora de Produtividade por Hora | produtividade | tarefas/hora
363. calculadora-meta-diaria | Calculadora de Meta Diária | produtividade | meta por dias restantes
364. calculadora-meta-semanal | Calculadora de Meta Semanal | produtividade | meta semanal
365. calculadora-meta-mensal | Calculadora de Meta Mensal | produtividade | meta mensal
366. contador-dias-uteis | Contador de Dias Úteis | produtividade | calcular dias úteis
367. contador-fins-de-semana | Contador de Fins de Semana | produtividade | contar sábados e domingos
368. calculadora-dias-entre-datas | Calculadora de Dias entre Datas | produtividade | diferença entre datas
369. calculadora-semanas-entre-datas | Calculadora de Semanas entre Datas | produtividade | diferença entre datas
370. calculadora-meses-entre-datas | Calculadora de Meses entre Datas | produtividade | diferença entre datas
371. calculadora-anos-entre-datas | Calculadora de Anos entre Datas | produtividade | diferença entre datas
372. calculadora-data-futura | Calculadora de Data Futura | produtividade | adicionar dias
373. calculadora-data-passada | Calculadora de Data Passada | produtividade | subtrair dias
374. gerador-agenda-horarios | Gerador de Agenda de Horários | produtividade | blocos de horário
375. divisor-objetivo-etapas | Divisor de Objetivo em Etapas | produtividade | quebrar meta em partes
